"region_id","Kode Region","Desa","Kode Desa","Kecamatan","Kode Kecamatan","Kota/Kabupaten","Kode Kota/Kabupaten","Provinsi","Kode Provinsi","Kode Pos"
1,"11.01.01.2001",Keude Bakongan,"11.01.01.2001",Bakongan,"11.01.01",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23773"
2,"11.01.01.2002",Ujong Mangki,"11.01.01.2002",Bakongan,"11.01.01",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23773"
3,"11.01.01.2003",Ujong Padang,"11.01.01.2003",Bakongan,"11.01.01",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23773"
4,"11.01.01.2004",Gampong Drien,"11.01.01.2004",Bakongan,"11.01.01",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23773"
5,"11.01.01.2015",Darul Ikhsan,"11.01.01.2015",Bakongan,"11.01.01",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23773"
6,"11.01.01.2016",Padang Beurahan,"11.01.01.2016",Bakongan,"11.01.01",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23773"
7,"11.01.01.2017",Gampong Baro,"11.01.01.2017",Bakongan,"11.01.01",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23773"
8,"11.01.02.2001",Fajar Harapan,"11.01.02.2001",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
9,"11.01.02.2002",Krueng Batee,"11.01.02.2002",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
10,"11.01.02.2003",Pasi Kuala Asahan,"11.01.02.2003",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
11,"11.01.02.2004",Gunung Pulo,"11.01.02.2004",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
12,"11.01.02.2005",Pulo Ie I,"11.01.02.2005",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
13,"11.01.02.2006",Jambo Manyang,"11.01.02.2006",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
14,"11.01.02.2007",Simpang Empat,"11.01.02.2007",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
15,"11.01.02.2008",Limau Purut,"11.01.02.2008",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
16,"11.01.02.2009",Pulo Kambing,"11.01.02.2009",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
17,"11.01.02.2010",Kampung Paya,"11.01.02.2010",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
18,"11.01.02.2011",Krueng Batu,"11.01.02.2011",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
19,"11.01.02.2012",Krueng Kluet,"11.01.02.2012",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
20,"11.01.02.2013",Alur Mas,"11.01.02.2013",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
21,"11.01.02.2014",Kampung Tinggi,"11.01.02.2014",Kluet Utara,"11.01.02",Kabupaten Aceh Selatan,"11.01",Aceh,"11","23771"
